동명,주차장수,면적,인구수,생활유동인구,자동차등록,대중교통,사업체현황
창3동,3704,67,13923,308754,3649,118530,2600
창4동,11137,95,26583,1287068,8528,296842,3836
창5동,11087,70,24709,798607,7801,906235,5076
창신1동,2388,31,5631,543608,1164,282044,5704
창신2동,999,26,9051,279552,1411,7031,2222
창신3동,1722,23,6733,121181,1699,120007,812
천연동,6000,97,17359,513692,4908,513277,2282
천호1동,10373,71,26973,1257835,8796,324054,4464
천호2동,15474,157,33753,1589119,9508,230866,9792
천호3동,10261,79,27000,1174611,7587,122616,5198
청구동,5142,34,13818,485331,3571,63707,2386
청담동,27146,233,25911,2708910,11850,534950,15142
청량리동,8925,120,19280,781522,5141,454732,3964
청룡동,10297,118,36482,1753797,7564,2133434,5800
청림동,4164,30,15214,224971,4433,76594,1404
청운효자동,4663,257,12177,789870,3643,213855,3012
청파동,5992,90,20076,1015214,4299,230840,4752
충현동,10924,112,20760,2124913,6968,1289753,6142
평창동,9505,887,18329,506716,6598,217165,2614
풍납1동,5369,77,13451,579546,4332,75044,2000
풍납2동,14155,159,24953,1750055,7921,159186,3710
필동,4870,114,4679,1071885,2156,807095,7504
하계1동,11657,155,27036,1355853,7535,290670,3264
하계2동,5055,51,22034,386504,6245,603066,1472
한강로동,26232,290,23411,3095029,12342,2159911,14706
한남동,16297,301,22941,1953034,7467,964790,7550
합정동,13719,172,17649,1021691,6452,281883,8662
행당1동,7535,59,14193,1076984,4225,1044276,3434
행당2동,9355,42,23376,744928,6742,315446,1842
행운동,8848,72,29413,879248,6288,329842,4300
혜화동,6724,112,18960,1312894,3518,412602,4534
홍은1동,4649,158,22933,466742,7016,186474,2834
홍은2동,10124,206,27222,1020769,7383,547592,3958
홍제1동,7986,123,23929,953316,6631,936487,3116
홍제2동,4523,105,13801,261403,3727,217770,1556
홍제3동,4316,81,15478,650310,3895,248098,2898
화곡1동,17737,112,52770,1563404,15950,1897915,8680
화곡2동,5822,45,18096,385055,4892,111366,2600
화곡3동,10771,53,21661,717922,6429,132298,3432
화곡4동,7881,82,20820,584296,5822,139455,4016
화곡6동,13082,111,25096,955057,7857,323317,5124
화곡8동,9203,53,24789,1168568,6086,205660,3608
화곡본동,9717,98,34612,995863,9158,219275,4336
화양동,10275,116,26034,1997600,4054,1698164,6376
황학동,6584,33,13444,717084,3428,85948,5088
회기동,6106,76,12727,901188,2098,188384,2612
회현동,11896,84,5432,2630853,13272,3216080,20106
효창동,3835,44,10156,319088,3113,315855,1442
후암동,4204,86,17308,480814,4040,148481,2850
휘경1동,6353,63,16105,797278,3879,685529,2572
휘경2동,11334,105,24847,744924,6377,300781,3116
흑석동,16738,168,33293,1328460,9127,707932,4244
